the-united-states	2886,1727,2509,3286,3257,2622,3301,269,838,322,2957,2359,2912,2937,324,3291,1396,1537,3561,3511,1223,3306,2935,2371,1723,2068,2360,2844,2620,1708,325,2446,3609,2358,2415,2959,2625,2794,1524,2645,2370,2883,2947,841,1721,3308,1395,1670,306,2355,2897,840,1414,2268,880,2372,2273,2859,309,2198,1016,3606,2777,2879,2435,2391,3309,2823,2871,2603,2934,2514,2884,839,2412,2362,1390,2373,2364,1661,214,0,1216,1697,3254,305,3571,2261,311,2589,1217,2950,2516,3304,3256,2865,3613,2893,43,2510,1,2895,42,2357,1743,2892,3292,3294,1688,276,2737,94,3288,1592,1386,2841,1491,1729,1455,2782,2119,1728,318,2798,2900,3287,2546,3604,859,2956,3258,2644,2272,2375,2263,2570,1665,308,2877,1736,1021,2857,2831,2958,2043,1388,304,2425,326,321,2753,3555,1527,2880,2882,323,2803,3563,168,36,2641,1735,2379,2933,1459,2429,878,2340,1391,1490,2274,3195,277,1748,3307,1540,1539,1666,2348,1225,2870,3250,3305,3570,1489,2341,2413,487,3313,2799,273,2854,2864,1724,1448,2881,1124,275,1413,1450,1017,1742,1015,1018,2866,3285,3284,2361,2262,1710
the-year	760,1572,1618,1095,206,3547,3549,1116,622,1106,2253,3545,1574,2342,1610,1123,2334,1575,1115,2097,1096,1120,204,1122,1111,328,2144,1092,1114,390,1108,2526,1307,2781,1117,1119,2524,2780,1622,2555,1,1097,1112,1309,1020,1563,3311,202,1100,1104,1113,665,1094,1019,630,2562,2958,1308,1103,2525,826,1107,539,327,2182,2353,1102,1310,1105,1996,205,1573,371,492,2875,1121,1099,1110,1118,3310,1098,1109,1101,448,1093
the-nba	2547,13,477,360,457,358,2156,2573,2638,2563,2849,372,751,2173,2491,3559,875,2517,397,476,2532,2225,459,2168,334,2463,2542,2538,2668,333,480,2338,1716,864,463,355,1741,2501,2540,357,684,386,2539,2479,750,2535,2155,1148,1601,1603,444,2492,331,1458,213,349,1620,2158,1627,2307,752,850,2075,2561,2557,2320,2450,2548,411,2454,2044,2550,2518,1321,2161,2551,863,6,2543,857,861,753,339,848,2560,860,362,2516,763,2571,749,845,330,2464,2541,2503,865,2555,474,2536,2170,2327,2639,1434,2489,877,754,2564,471,719,2449,447,2505,2150,761,2325,2640,2,377,2314,1135,2648,2461,2721,2544,7,15,779,2580,473,2452,2647,2599,2558,746,1626,2598,1160,2574,2163,356,1430,502,2151,851,475,846,2453,2475,2480,1232,2312,2474,2167,598,1625,2554,2310,3587,762,2469,755,2045,2169,847,2720,2508,2154,2507,3590,876,335,2504,2164,2153,2488,1159,2719,361,2482,2552,874
the-team	445,3255,1992,1235,3075,3175,1749,2049,2873,1619,1337,3364,608,2894,1719,2903,344,856,530,352,1693,349,871,1130,2855,1706,2807,125,2267,1296,293,995,140,117,1877,983,866,267,347,2781,3064,3466,854,3090,1709,2878,2233,3239,588,2528,2836,550,719,3032,963,1630,3095,1675,3365,47,565,1765,2814,144,264,1256,2787,539,2960,1676,3061,3419,71,3529,454,3455,3066,3144,748,1678,1131,3464,3501,687,158,2062,159,887,3390,215,3487,2766,3461,2238,2862,2266,2063,2403,1129,1585,2832,1963,122,589,1692,923,2407,2858,3082,2899,718,354,870,1286,2414,1866,1476,2358,2078,2809,255,44,3244,427,1948,2982,3174,2979,1591,2377,120,2022,898,2047,768,2896,1934,3148,2404,2816,1702,844,564,2780,3088,1824,2042,2441,1771,1616,2895,3417,3469,1600,261,2060,1142,1698,348,2264,1683,691,1647,1855,2842,1587,842,1628,1856,3241,1938,3140,248,1584,2773,3483,1666,2810,2983,472,1937,922,743,2771,869,3356,1933,867,3176,455,1884,2936,260,2698,2356,2833,1126,1929,2590,1679,972,562,353,1854,1699,59,1686,2374,3170,3,1632,2890,3248,257,2087,2269,2974,892,541,1964,2924,351,3093,2790,2605,607,1878,899,244,1764,186,535,2898,2852,2529,1901,855,2806,3236,68,1864,1965,2779,246,1772,722,1691,3089,2398,1959,2530,154,2271,571,1677,263,2368,1562,3035,1850,1680,1657,1651,1577,2270,1763,1571,2765,868,959,2045,2812,2799,62,18,579,2251,3418,1673,1762,1681,976,119,2297,350,3301,3497,642,3463,780,178,2885,319,1594,1614,3094,1882,2811,3245,2046,2778,3302,964,1960,3522,1593,3145,1334,53,2805,2975,3216,858,1623,2351,3355,2928,3395,2872,1589,3171,345,511,604,2813,2783,3242,1141,2077,2373,2926,2856,3272,2973,1883,587,1641,1629,2767,1254,1674,2378,3067,2483,1564,508,3077,538,3392,258,1642,1713,2079,2376,39,2531,961,318,1853,2427,1768,2055,2349,1871,3065,2363,2350,929,771,2382,2880,235,2925,3238,2041,3149,2976,2827,1879,1821,2353,873,3159,274,3394,2601,2923,1996,2402,2919,1714,930,3403,3112,3502,2309,2815
teams	2330,11,1467,1479,2597,3582,1447,3221,1599,5,3603,2230,4,1444,2159,1475,209,1283,2332,1566,2687,2186,744,2462,2242,2515,1620,3622,1287,849,2634,2129,1397,2592,2219,853,3600,2917,2117,2187,2188,2516,2511,1393,770,2643,49,16,2684,1210,462,1228,2128,1289,1600,2619,2786,2191,1244,2664,241,2635,1322,9,2224,1425,1233,2663,2174,3568,2243,2202,1295,14,1808,1288,1299,2523,1232,2130,3552,2502,2246,879,2120,2749,2197,3019,1246,2192,1273,1332,1276,2396,2513,2194,1654
the-tournament	2397,2631,237,1718,3208,1291,2196,3217,3516,2220,2851,2216,2868,2356,2181,2241,2193,2949,1447,2234,3603,926,2629,2215,2244,2245,2223,2255,2809,2209,2214,2131,38,2180,3275,2185,2058,2867,2242,2855,2918,171,2247,2884,227,3249,2190,2217,1697,2428,2950,3533,1674,1930,2878,302,2239,2633,1731,2398,2132,2272,2224,2199,2218,2831,2179,8,2202,2237,2059,2189,3230,46,1722,2429,249,3514,2228,2254,1730,3283,2240,2630,2810,3548,3141,2183,2919,190,2197,2184,2632,1673,3360,2248,170
the-game	2431,708,3575,3576,1788,1891,460,3357,2733,3150,1974,93,1757,3175,3028,1845,1836,3593,3012,972,459,3436,1472,58,2291,949,2999,3106,3156,1293,1968,2656,440,3034,945,955,2124,3134,1797,3243,3371,1908,1801,1941,2662,2736,2984,3119,2332,3185,53,1823,1865,1964,3076,3127,2953,3047,3401,2825,987,1624,3103,1706,1939,2916,1689,970,452,1007,3421,262,2292,3063,947,1928,2313,3139,384,3439,2229,2583,1852,1945,414,1438,784,2724,2054,2380,3594,942,1923,1004,3009,1418,1773,2901,937,3370,2666,3161,1419,2280,2432,3380,3525,3341,3374,55,1294,1916,2909,3152,3166,2276,981,453,1359,2839,2657,3412,3378,3353,2088,924,10,1955,815,1827,432,3038,3056,933,1388,2066,2321,2300,2279,2931,81,2123,3149,982,906,1995,408,3008,79,2952,92,1576,531,1789,1938,2301,75,3419,977,2167,3476,2308,3543,181,2395,1644,1225,1633,989,2968,3407,1798,3629,2642,2756,2824,3386,2615,1950,91,1817,3377,2324,3102,3403,2388,200,1895,2410,3179,3411,2521,2331,1578,704,2195,461,1892,3000
april	1403,2354,2176,337,1536,1126,2650,1237,2423,3582,1280,1030,1531,2210,1525,1333,2430,2501,17,2302,194,1482,30,338,813,1204,2537,2211,2096,1407,2527,1394,1556,1355,1220,1218,496,1214,2038,2040,1480,1558,2884,2362,1145,1487,1547,2299,2938,2034,1409,1408,1201,1202,1503,1649,2083,756,1257,1198,2945,2091,2032,2424,2569,1186,1526,1545,2122,2416,2434,2649,2946,1541,1144,1501,1478,1486,2426,2657,1406,1203,1552,1405,2497,1500,2951,2955,1062,1425,2027,1147,2876,2258,2090,1485,1205,1281,12,1404,482,2086,3537,1058,2082,2417,1646,1544,1643,1193,2089,2948,787,2502,1568,31,2939,1488,1402,1530,1483,2759,821,2260
the-league	394,760,13,406,360,2573,458,1230,2651,481,575,2591,3561,2817,341,438,436,1151,2468,399,1263,2500,1605,2204,2451,1606,1327,2311,1267,2584,1607,1336,1331,1464,2499,1351,446,2478,1452,629,3621,2471,758,479,1218,343,759,2594,1323,1451,1269,2458,2593,3623,2459,1682,765,2485,1328,2566,3614,866,1357,456,756,2466,1161,450,464,442,2529,1461,865,2455,385,1342,365,1261,2581,1228,435,2460,2578,332,364,852,1298,1326,2205,3612,1615,757,1613,3624,2520,468,2530,3617,392,2549,681,2465,1621,2456,1239,3620,478,356,1324,1301,2568,1256,336,434,212,475,2487,378,1232,1258,393,2773,2534,1270,1356,451,1325,1162,1292,2206,1282,1260,2533,2470,1428,2519,379,424,415,1742,449,1273,1245,2506,1152,465,461,1268,366,2659
game	1344,769,428,1251,950,1936,19,383,391,3494,95,397,443,2496,291,2595,417,614,115,423,310,729,612,611,1253,1304,782,419,1252,395,407,3459,433,123,1265,2605,1306,410,711,1470,1305,709,1663,2061,2250,3381,651,587,783,201,593,763,710,151,749,526,655,388,398,416,3595,437,435,3525,707,402,1001,772,24,429,439,1236,412,387,3544,409,2226,2264,3627,586,403,778,396,1297,400,401,441,2495,404,1345,418,764,1439,3514,22,1241,3270,3147,23,613,1247,181,781,3467,1250,405,51,3293,25,421,1248,2796,162,413,615,1246,1343,389,3505,2764,529,2249,2486,528,170,425
