star-wars	2613,3968,3808,1034,1254,0,3849,2583,6370,5924,5987,4001,5383,6015,875,2001,3713,4732,5894,6248,6282,6296,1463,3937,1098,1681,5985,6071,6836,6272,3704,3871,2449,3560,3950,5044,5967,3918,1596,4401,1839,4215,6737,874,421,5045,3847,5984,3838,3960,5973,3883,1462,883,5315,3835,3894,5656,3896,6826,2237,10,3867,4892,3929,5269,7411,3554,3828,4606,2496,3888,5969,4719,2432,3527,5977,6801,3854,1590,2016,6294,5298,7061,3869,5115,4589,7359,3989,1062,6224,6227,6528,2027,4536,5970,5317,843,6290,1059,6268,447,2878,4506,6802,3623,3887,3302,3755,3891,3624,5976,6985,8,7535,7562,3689,332,449,3930,6477,3628,4402,3763,3975,2598,6834,3622,2435,3944,6306,1231,3998,6496,6110,4753,6259,6752,3982,5386,5978,3830,3856,2597,5880,2106,2014,5909,6680,3941,5934,3620,3834,2429,5946,3850,4756,3797,4371,2119,3627,3983,5256,5354,2419,3700,3489,3965,7234,3625,5956,6257,6653,6994,2438,6277,6718,3832,3917,2446,3962,2596,3970,3966,3626,6817,3868,5316,2041,1004,6301,6835,3863,3133,380,4749,5861,6824,2372,5184,4213,13,1427,3852,2589,3877,5944,6789,1565,586,3108,5835,1990,5088,3725,66,3087,6821,3972,3853,3900,5966,6148,1953,6225,2421,3759,3956,2585,3873,5968,3912,22,2894,7146,2097,3996,2539,1087,3783,3967,6755,4990,1652,5112,5306,7379,1995,1042,5305,3943,2591,20,2447,2588,3969,4124,5910
the-franchise	5654,3557,4172,6068,2979,5500,5913,765,1008,2448,5184,2762,1838,5544,6789,5472,3618,3876,1565,5481,6173,7289,2459,5747,5906,6032,1597,785,2652,5494,5881,6071,5942,5965,3560,5532,5926,2421,172,2460,7330,1594,4998,5393,3489,5660,6964,1885,4600,4192,1426,5372,5655,5956,1087,5520,5366,3483,2201,3558,6719,332,1837,3955,5789,1855,1822,973,5290,5876,6727,6067,2474,1849,561
the-force	2042,3114,4297,65,6039,4779,585,2667,2791,4436,1314,1719,4725,721,52,2007,3139,2771,4596,1115,4302,4687,2015,1639,2098,1866,4264,37,4610,6218,434,2051,4176,2437,3252,4926,4348,6191,11,5159,1308,3287,1306,29,2291,4826,2923,6262,4618,5841,2235,3208,4849,3954,5997,5844,5941,2245,3134,580,2451,2422,1276,2900,2721,102,4790,6668,2345,711,340,6251,4700,2236,2789,7443,4617,4751,4387,3343,286,4576,6023,4130,5018,6250,1252,2012,4783,920,3163,2822,3159,1309,3176,2712,1122,590,7488,4611,4691,10,4931,4351,5053,2054,4645,6649,291,3189,3652,3092,342,3113,4816,6249,4177,4286,3112,5064,2231,4252,3231,4140,3131,1092,2930,255,6256,6281,869,6560,3165,43,4774,6299,6192,6057,4642,622,4379,5241,118,992,4699,4213,4244,6171,2232,3128,3166,6267,4835,6832,6213,287,113,4683,4914,3164,2298,4273,5961,6265,4097,4999,5152,4747,2759,4660,5193,2029,2484,6605,4871,3502,2478,3177,4830,2396,3186,2695,3301,4074,4075,4329,328,6451,3068,3205,4959,5963,4701,4765,4778,1692,1766,3160,7550,2079,5919,244,36,630,1282,1189,3583,33,3036,4754,6211,4459,4809,170,2370,4705,584,4371,3976,9,600,4031,5240,4173,17,562,2048,2103,3241,4811,3161,5246,13,4250,2290,4341,6789,2903,6682,6002,442,3580,2382,3132,3167,2395,2946,3148,3162,1688,2067,6684,4039,38,126,4112,2393,3169,452,1292,6170,4274,4696,4574,4808,7332,1,3308,1724,4956,870,4681,4462,4781,3072,577,6589,6988,4638,7565,3101,4287,4769,4860,3638,19,42,6172,2046,1510,4777,2874,4586,7532,3078,4995,7472,3133,5846,1682,323,2378,5252,2373,2607,2563,7564,4002,5399,3248,4458,925,2784,2757,4859
the-last-jedi	1006,3182,2759,988,2073,153,3169,4080,6819,883,187,2360,155,2781,4003,2761,165,2765,150,4381,39,4631,5886,5400,4225,2787,4096,172,158,72,2099,1153,2777,1116,4471,1768,6300,2049,74,4195,6,3183,5888,5253,4282,5842,889,1769,2752,3147,1705,157,2034,2452,166,6965,4995,180,2709,1709,14,2033,71,188,156,4468,2762,186,16,3151,6269,2730,66,4079,2352,6722,69,67,142,164,47,178,967,139,443,4081,4004,6184,1731,1100
the-rise	2038,1003,2461,2100,4609,4010,54,1993,7547,882,2729,2747,2991,2065,4366,2368,4369,4726,6111,4948,392,4857,1255,7480,1017,4899,2756,966,1182,247,6990,4676,2036,980,961,4996,6115,3169,4840,2485,2303,1091,4525,4851,4912,6819,4952,883,4308,52,2316,6315,6818,1711,4098,979,1746,985,2089,2,2754,2081,2728,4647,6314,7337,58,1018,6169,4646,4905,3210,5843,4382,4003,2761,2037,4381,4953,420,3,1002,6886,881,2297,2766,5400,4225,6391,2787,4924,6078,444,3203,48,63,327,2767,4227,6595,1181,62,4902,4472,6820,6597,2039,2342,61,1116,2088,1712,1585,1014,1768,1716,6108,1016,6887,6300,4601,2082,3158,4792,6183,4946,2049,2769,4099,5011,3209,2749,4345,1687,5887,6840,5253,2770,4991,2605,3153,5376,4580,4883,6665,889,989,3154,1005,3472,3191,2452,6024,5257,4602,2304,7,570,1293,1207,2477,2086,1009,6972,15,2760,3330,7478,2694,16,4307,75,4605,2792,6009,6722,6283,330,5926,6286,6456,2271,1015,182,1745,67,2763,943,4473,3192,967,4675,4004,2616,884,969,2757,1100
skywalker	2461,1003,4609,2100,54,1993,7547,882,2729,4369,4366,4837,4212,1012,1255,1017,2756,247,2143,1000,2036,980,4996,3169,4840,883,6818,6167,4098,1746,985,2754,2081,2728,7244,683,1018,5843,4382,1054,4003,420,6886,881,982,5400,4225,2787,2144,444,48,327,2142,2767,6595,4472,2342,61,4579,1014,1768,6108,6887,6300,6997,4825,2049,4345,5887,5253,2919,4991,4826,3153,6665,4824,3154,889,989,1005,3472,3191,2353,3739,2452,4173,5257,455,2304,7,2696,7245,2477,365,6044,2760,7478,2694,4307,2352,6722,1015,1745,4211,67,4675,4004,884,969,1100
march	3465,2511,957,3611,5041,5120,3410,5413,5572,5756,387,2489,5569,5587,6017,6806,1600,1789,980,3349,807,1925,5080,2491,6919,5992,4582,2507,5519,5820,10,2497,1256,781,6317,768,5135,3494,4557,2718,2102,5076,3391,7605,5102,5561,5096,1939,428,207,3531,3776,130,2512,5103,5099,3006,5100,1226,1884,3911,431,453,5799,3008,5331,3789,7118,793,2724,1763,2610,3378,7132,4,3096,5089,3737,4602,3500,1783,1770,5077,5542,5652,2717,151,152,1915,2818,3355,5581,134,1959,5567,7603,7152,6767,3827,3513,6815,2518,968,2517,388,981,970,142,1924,1784,7117,707,6808,223,827,3470,7108
september	46,705,5127,7197,6135,6119,5733,2506,3467,5812,2999,4546,5591,4732,1941,5598,1268,5558,30,5122,7592,1820,5696,416,202,2215,1621,6809,6828,3434,5646,3905,5394,5798,5348,2504,5135,5,826,3901,422,5516,2622,1615,564,5802,833,1796,5586,3072,6013,5823,3425,5449,6786,5537,2719,1782,130,834,12,44,5764,1805,3073,3466,5538,7134,6784,1816,183,5515,6153,3904,5588,3413,129,937,5320,6139,385,5137,2737,2509,2527,145,5853,6122,3909,1806,3387,3506,886,3074,2520,578,664,1626,6138,708,73,123,1786,6130,6710,602,1275,7195,5670
december	7596,3611,6825,3052,3086,3051,3438,1852,7091,3081,3144,5891,3127,7049,7139,6831,3126,3070,5587,408,977,1609,7212,3079,3871,1645,5303,6305,975,3386,6637,70,7185,2604,6827,1335,1945,936,4587,6126,6809,6310,4168,5646,1771,2739,6113,5290,7611,4390,5,5278,963,7090,2603,1590,7520,944,5586,7628,7315,5886,3473,5852,888,3384,1984,63,5537,6820,12,1946,5074,6109,3608,3115,3607,3908,3071,1987,830,891,5634,5396,7138,4742,2707,74,5403,7137,3066,1334,790,2749,3080,1873,1294,3083,4603,5887,3904,7181,3468,7310,1767,3082,2605,5101,1882,2985,3503,3154,3605,5599,2726,3555,1636,3152,4600,4391,892,4559,3599,1634,4602,2722,3037,3541,1631,2913,6144,1329,3045,3462,890,1326,2723,2692,974,144,978,5885,2694,148,3039,3108,3979,5323,5567,1875,6313,75,1944,6714,6767,5771,6821,1633,1333,6815,701,2693,968,330,5790,182,6757,6925,1418,4738,149,142,1865,6795,5312,5289,5415,7324,3604,3903
april	1614,3508,5357,3460,5648,5444,1332,6311,5408,2530,3543,5445,3395,6981,2989,5433,5905,5129,4235,3379,5414,128,1950,704,3094,5646,844,702,6826,1612,814,5821,1256,7143,7356,1028,950,5991,6173,3495,7321,5600,361,6799,5435,3880,824,6746,5698,6085,428,5105,3053,4506,3093,2809,5434,7535,332,4584,5925,3907,3101,5521,1785,2502,3441,5093,566,2707,5432,6,3457,5545,1876,2052,5803,3482,3281,5755,9,1627,2912,6743,6086,3983,4998,3489,1625,1676,6653,5436,3483,2201,965,712,2044,1093,972,3697,5392,5130,5363,3440,5079,6475,5404,6824,7289,5184,5355,13,6789,1565,1959,7152,5546,6168,5903,645,842,5790,6152,1073,2421,1613,2736,142,1426,6363,3906,5082,5415,2505,1385,5762,3102,331,3005,6793,6298,2474,6303,32,4124
