algorithms	134,1388,743,1392,903,1008,509,1124,516,883,677,871,1180,1281,507,300,887,636,1507,708,1195,652,1021,1069,665,1393,341,1035,627,653,1199,886,874,506,742,349,553,643,496,1386,1094,723,669,1274,1343,1177,1378,149,747,1201,130,1171,872,893,863,1391,862,1178,1170,1188,1370,1176,881,624,1784,1461,1192,0,1267,610,726,608,1044,904,716,890,525,867,1385,879,1020,900,1529,1371,1271,143,1379,1273,1368,1041,1390,722,1279,876,877,1528,611,884,339,1376,746,606,712
example	1760,911,1313,847,1325,1081,1457,1502,1324,649,1353,1486,582,148,340,559,1495,177,14,734,563,701,759,497,69,804,567,1125,1459,34,1321,1448,960,530,670,1691,1456,529,950
time	159,1059,435,1380,891,329,705,946,356,664,510,1360,50,1361,1014,773,1027,269,489,1099,1768,561,591,1173,1812,1130,368,1530,51,580,467,1386,468,40,1678,1464,1767,1515,560,360,699,865,1513,791,1,1494,980,52,111,631,59,1671,1307,1359,1589,1505,39,135,1373,1463,27,1514,1645,703,697,1485,171,895,1476,1516,590,1526,1275,355,1058,1766,1405,1864,1152,1512,1511,4,12,902,704,196,878,719,612,784,964,1381,49,505,896,484,139,617,630
computers	869,1750,681,543,374,1046,627,1078,709,370,1039,280,1092,1747,263,1752,544,100,607,1748,625,732,751,358,733,1745,1025,1754,750,1190,101,281,628,749,1044,98,278,283,549,616,728,554,1749,1167,622,279,731,369,272,646,1172,710,1175,357,1057,542,741,757,131,1757,629,288,1047,276
information	1033,1050,1110,1580,1045,1769,157,1821,752,204,745,666,1465,1109,776,1434,448,1056,1831,721,31,1402,527,568,1820,199,1362,187,1100,29,1120,1218,1154,755,1663,688,1310,689,1527,1068,1861,1416,1336,569,55,137,515,750,523,455,656,551,112,668,1777,1737,245,690,32,9,460,1359,501,1209,1276,1559,692,672,693,1403,1454,1309,1472,2,320,1083,459,1155,1438,22,95,8,655,1469,754,727,572,1377,343,581,1129,403,1157,1401,854,1766,667,1128,644,1614,5,156,270,1474,1519,695,1422,1194,1815,734,1029,621,1162,205,1803,1304,989,1159,1470,1659,256,578,216,1327,990
memory	273,937,1087,1282,548,1102,262,378,999,495,1479,461,1506,1269,498,513,982,987,926,463,1027,511,254,1546,519,481,979,1055,1032,1322,362,348,1000,293,1535,515,888,1475,493,1451,1466,1674,338,583,1086,1031,21,508,1270,1075,307,1463,1006,1001,499,988,271,512,1289,1332,1005,474,1469,469,485,42,494,264,925,1477,333,597,1280,1730,541,614,7,1498,787,939,1452,473,1095,1470,1277,361,889,1268,846,500,945,682,141,308,249
individuals	183,153,1339,224,82,413,651,1589,1657,1750,210,1826,227,1619,1652,166,329,1608,222,855,1702,1607,1738,1808,844,446,1348,1748,1774,1729,1219,1257,1840,408,410,1842,390,1263,1624,281,1837,176,1141,1839,442,1261,447,396,1621,1350,1560,1658,1794,225,178,1791,192,279,1651,1333,71,397,1780,1601,85,60,3,845,1420,441,816,1757,288,1404,1799,1789
people	1208,221,909,488,1853,72,213,1753,116,440,202,1690,1692,1700,323,912,807,1686,75,908,1805,426,1258,1598,1683,325,418,427,1701,798,1138,1563,1812,450,914,777,1140,1647,226,1145,182,1828,1734,384,1716,1427,1684,915,115,815,843,1620,188,1627,429,836,402,1137,197,1564,1596,814,167,1473,1216,1255,1766,1135,1858,1817,1650,1818,1203,215,905,1713,1547,1707,1544,1855,1429,1204,117,1823,161,1409,829,476,120,1556,852,1704,1751,1150,1872,1217,1723,1254,906,1637,228,1831,1256,416,834,214,1468,114,411,1224,1710,1623,430,1682,802,1809,1205,110,203,1218,464,1212,1421,1798,1711,277,84,127,825,1207,241,1134,1235,206,685,1238,287,1717,475,804,1660,1648,412,1231,812,1689,833,918,1726,832,212,1796,166,457,239,1214,217,282,1206,184,917,1419,1770,1832,1862,242,1613,789,810,1728,796,201,1424,1643,118,219,1077,1405,648,1836,433,1234,1422,154,208,1467,240,1696,414,1640,1628,1706,1800,420,165,820,1835,1622,806,1676,1632,6,119,1262,1211,1555,1769,809,920,1232,74,1233,830,819,421,831,1433,916,824,1585,283,190,491,828,1824,472,1240,187,1362,1691,1549,803,1545,1133,1698,1260,1340,1797,795,193,437,168,1687,1736,523,538,1143,1246,1595,1756,1697,387,419,1830,466,1813,438,406,189,1638,1705,647,1553,797,164,185,458,434,805,1843,1239,913,826,1801,1633,409,1478,1720,1570,1639,1854,452,1428,453,1116,284,310,454,1430,1873,220,1237,449,128,818,821,1806,1226,1722,196,822,1866,1816,1247,1248,70,180,1223,237,1471,1694,1803,799,1151,473,1245,1822,827,1136,539,216,385,1583,1363,801,642,1718,181,1788,1841,1814,910,837,1746,1347,1695,1222,207,1629,1144,1773,1856,153,835,1220,1548,811,1714,417,1829,471,1063,1708,1712,198,1227,1693,1719,851,1631,1426,1781,532,1630,73,191,1142,1412,1359,1685,1617,841,1825,1807,1543,524,1688,465,1215,1754,1857,1225,800,1625,1838,1213,422,1827,1804,428,907,1644,1366,113,209,1236,1709,1834,1139,1721,1752,223,365,1664,771,808,238,1423,200,1819,838,853,1715,1244,823,1735
order	545,1312,1316,518,346,1062,1084,337,717,758,786,421,673,75,1088,1787,377,140,521,1792,301,761,1846,1780,1113,353,336,76,1773,366,303,231,1634,897,1410,1786,25,179,1679,899,218,268,1584,961,599,1293,1795,359,1552,1551,870,304,762,1630,1164,419,1351,637,1018,1210,901,1153,1317,586,145,1400,364,1184,144,1052,1652,470,687,1111,526,1105,1303,1776,1859,1571,22,986,442,311,8,1009,1833,1366,90,243,334,1080,1236,792,324,1339,1158,760,1071,1152,1278,528,89,676,585,866,658,1335,335,1453,423,363,605,1345,1026,1346,1632,943,1673
the-cache	520,24,937,714,997,932,593,958,1308,1487,1301,966,1479,35,963,947,30,26,992,1489,987,973,1496,33,43,38,29,952,1501,1484,292,1310,587,1481,713,996,1480,923,295,589,995,13,929,10,936,602,968,1497,594,928,1003,967,970,1383,11,1295,1297,1488,1490,1499,1296,1302,933,1491,294,302,972,296,299,46,1483,1504,931,922,23,36,1500,930,37,962,957,1493,58,297,1382,715,944,993,1306,577,1482,942,1291,47,975,940,603,41,1492,927,938,941,934,1305,595,959,48,291,969,57,600,1503,974,601,971,592,1002
